"template_name";"english";"polish";"czech"
"rest_title";"Raw Salad: raw data in a variety of flavors";"Raw Salad: surowe dane w różnych smakach";"Raw Salad: syrová data v různých chutích"
"error_info";"Oops ... an error occurred.";"Ups... nastąpił błąd.";"Aj... stala se chyba."
"error_info_link";"Return to home page";"Wróć do strony głównej";"Zpět na hlavní stranu"
"app_title";"Open data";"Otwarte dane";"Otevřená data"
"app_tm_choose";"Collections of data";"Kolekcje danych";"Kolekce dat"
"app_search";"Search";"Wyszukaj";"Hledat"
"app_download";"Download";"Pobierz";"Download"
"app_panel_title";"The available data collections";"Dostępne kolekcje danych";"Dostupné kolekce dat"
"app_pl_choose_panel_desc";"Select collection of data that you want to view.";"Wybierz kolekcję danych, którą chcesz przeglądać.";"Vyberte kolekce dat, které chcete prohlížet."
"app_pl_search_panel_desc";"Search for specific information in our database.";"Wyszukaj konkretne informacje w naszej bazie danych.";"Hledejte konkrétní informace v naší databázi"
"app_pl_sr_form_panel_placeholder";"Keyword";"Szukana fraza";"Hledaný výraz"
"app_pl_sr_full";"Select collections of data you want to search.";"Wybierz kolekcje danych, które chcesz przeszukać.";"Vyberte kolekce dat, v kterých chcete hledat."
"app_select";"Select all";"Zaznacz wszystkie";"Označit vše"
"app_deselect";"Deselect all";"Odznacz wszystkie";"Odznačit vše"
"app_pl_sr_more";"Advanced";"Zaawansowane";"Pokročilé"
"app_pl_sr_button";"Search";"Szukaj";"Hledat"
"app_pl_sr_results_count";"number of occurrences";"liczba wystąpień";"počet výskytů"
"app_pl_sr_results_coll";"collection";"kolekcja";"kolekce"
"app_pl_download_panel_title";"Download the data";"Pobierz dane";"Stáhni data"
"app_pl_download_panel_desc";"Select data sets, and then click &#8222;Download&#8221; to save them to disk.";"Zaznacz zbiory danych i kliknij &#8222;Pobierz&#8221;, by zapisać je na dysku.";"Vyberte dataset a klikněte na &#8222'Stáhnout&#8221;, abyste uložili data na disk"
"app_pl_dl_sheets";"Data sheets in open CSV files";"Arkusze danych w otwartych plikach CSV";"Listy dat ve formátu CSV."
